line	2	4	6	8	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92
WT:CAB (1)	4610494.75	4391941	4222521.75	3857017.25	3485079.25	3212657.25	3165564	3102978.5	2809875.5	2606612.25	2612568.75	2824390.25	3053700	3199323.25	3083137	2779792.75	2427004.75	2244993.25	2141806.5	1999783.5	1809920.5	1711375.75	1755050.25	1897349.75	2056302.5	2132108.5	2107754.75	1962298.5	1823008.75	1691389.25	1603355.5	1511492	1409081.5	1362113.5	1391348.75	1440823.75	1546971.5	1590656.5	1567671.5	1512518.75	1430201.25	1363950	1277723	1210905.25	1143641.75	1114706.75
WT:CAB (1)	7394224.75	7274731	6896601.75	5946147.25	4923899.25	4407867.25	4205004	4037058.5	3617675.5	3277142.25	3478448.75	4306280.25	5436190	6291573.25	6448637	5803322.75	4740514.75	3975883.25	3538816.5	2995503.5	2515800.5	2376935.75	2766060.25	3468609.75	4221642.5	4684318.5	4790464.75	4412758.5	3864918.75	3384099.25	2961215.5	2573992	2222581.5	2123853.5	2357558.75	2752183.75	3209771.5	3489436.5	3573951.5	3396658.75	3138651.25	2833270	2524593	2248385.25	2016831.75	1976221.75
WT:CAB (3)	1.34E+07	1.35E+07	1.33E+07	1.25E+07	1.08E+07	9808937.25	9255164	8685628.5	7536465.5	6858642.25	7760108.75	9631510.25	1.15E+07	1.27E+07	1.27E+07	1.18E+07	1.00E+07	8652543.25	7850976.5	7035573.5	6097510.5	5723425.75	6463170.25	7730679.75	9060002.5	9852978.5	9954104.75	9239098.5	8249948.75	7316189.25	6570555.5	5934742	5359201.5	5094123.5	5412408.75	6073213.75	6893921.5	7382786.5	7460681.5	7122078.75	6650551.25	6120040	5592563	5171455.25	4800831.75	4640841.75
WT:CAB (3)	1.35E+07	1.40E+07	1.40E+07	1.33E+07	1.14E+07	9842737.25	9191164	8444038.5	6994975.5	6092712.25	6938878.75	8777300.25	1.06E+07	1.18E+07	1.17E+07	1.08E+07	8894484.75	7377093.25	6505246.5	5652863.5	4756280.5	4459945.75	5212110.25	6498399.75	7863982.5	8736508.5	8948874.75	8303498.5	7396378.75	6503499.25	5795805.5	5093922	4479441.5	4260003.5	4692748.75	5383013.75	6299971.5	6875106.5	7014621.5	6728708.75	6176151.25	5654410	5140133	4607315.25	4160641.75	4060766.75
WT:CAB (4)	8607654.75	9124331	9366711.75	8876477.25	7378259.25	6256057.25	5907914	5517308.5	4708095.5	4023132.25	4298138.75	5447000.25	6800320	7877443.25	8085627	7232662.75	5804394.75	4735753.25	4120916.5	3548653.5	3034380.5	2873715.75	3379820.25	4289369.75	5277372.5	5963298.5	6193714.75	5722298.5	5022208.75	4343469.25	3775075.5	3278022	2920391.5	2879323.5	3193408.75	3677803.75	4336511.5	4789226.5	4918801.5	4753028.75	4413011.25	4027680	3588703	3210065.25	2913371.75	2938821.75
WT:CAB (4)	5053824.75	4891141	4743261.75	4275977.25	3668269.25	3320137.25	3180564	2994338.5	2621965.5	2337002.25	2450468.75	2842380.25	3285000	3667533.25	3720237	3376012.75	2854464.75	2507693.25	2302376.5	2076173.5	1866340.5	1821995.75	1988180.25	2264819.75	2608432.5	2857418.5	2809374.75	2610688.5	2387468.75	2170049.25	1986235.5	1814482	1697591.5	1666843.5	1773668.75	1892483.75	2109171.5	2199906.5	2208261.5	2122458.75	2014391.25	1883120	1744913	1624465.25	1546891.75	1556231.75
WT:CAB (9)	2564414.75	2706571	2657151.75	2258967.25	1684959.25	1370007.25	1188314	1002298.5	839335.5	711872.25	840498.75	1217410.25	1766350	2244073.25	2319587	2013902.75	1576284.75	1259503.25	1033836.5	855463.5	710560.5	677675.75	803750.25	1092339.75	1466392.5	1748598.5	1843594.75	1722288.5	1524848.75	1284669.25	1082245.5	924442	807241.5	765293.5	837368.75	1001133.75	1244581.5	1424866.5	1506811.5	1492698.75	1403001.25	1258320	1100103	974415.25	890071.75	849926.75
WT:CAB (9)	2265774.75	2487421	2486321.75	2189757.25	1664139.25	1309057.25	1100254	891668.5	703395.5	594822.25	711258.75	1073500.25	1592810	2047303.25	2149247	1919672.75	1505134.75	1153633.25	923566.5	729413.5	578460.5	526495.75	637260.25	928939.75	1317292.5	1665298.5	1822204.75	1725308.5	1482458.75	1179999.25	932825.5	761732	616141.5	553793.5	598878.75	756423.75	1007511.5	1233186.5	1354521.5	1354138.75	1246451.25	1070090	898103	757745.25	657361.75	599271.75
cry1:CAB (2)	1135954.75	1060231	960021.75	795717.25	656259.25	603137.25	580994	545888.5	489115.5	450732.25	465618.75	539820.25	645890	718523.25	705137	652092.75	545764.75	463133.25	427676.5	388943.5	344930.5	310725.75	311010.25	341369.75	388982.5	433508.5	454454.75	441578.5	407188.75	364799.25	324765.5	294152	264631.5	247353.5	237968.75	248803.75	279971.5	310926.5	337511.5	351268.75	347611.25	337210	316013	296225.25	269981.75	245501.75
cry1:CAB (2)	2185144.75	2212091	1813311.75	1393517.25	1060819.25	882467.25	787814	709388.5	600575.5	551072.25	620418.75	808660.25	1066330	1254583.25	1248907	1134482.75	962294.75	808213.25	702196.5	608203.5	518850.5	463805.75	485800.25	577979.75	726492.5	866288.5	937774.75	921718.5	852958.75	761729.25	661285.5	569042	493401.5	439773.5	422228.75	449453.75	521791.5	609956.5	695521.5	733238.75	728491.25	698140	644643	591915.25	528341.75	457456.75
